city-00;-60.64;88.99;15.05
city-01;-51.74;98.86;21.34
city-02;-78.97;73.16;-27.10
city-03;-88.14;78.93;-19.58
city-04;-92.37;97.21;30.92
city-05;-93.21;74.48;7.60
city-06;-98.19;80.12;4.46
city-07;-82.36;94.83;-6.64
city-08;-69.05;93.69;25.40
city-09;-90.64;92.34;-2.51
city-10;-94.34;91.78;-13.67
city-11;-99.54;11.83;-41.83
city-12;-96.56;60.89;-14.42
city-13;-98.89;97.67;-5.66
city-14;-90.49;80.8;-10.86
city-15;-94.06;69.61;-29.24
city-16;-80.03;87.35;-8.64
city-17;-48.52;96.15;22.26
city-18;-66.62;49.95;2.61
city-19;-93.13;11.52;-34.10
city-20;-60.18;62.87;31.70
city-21;-75.51;84.14;-0.01
city-22;-95.36;90.66;11.32
city-23;-98.06;88.5;3.96
city-24;-85.76;32.48;-35.44
city-25;-81.79;92.8;0.58
city-26;-58.28;76.8;20.91
city-27;-80.85;72.07;-4.04
city-28;-47.56;97.98;31.21
city-29;-68.88;99.97;5.19
city-30;-77.05;84.32;5.32
city-31;-95.57;93.92;-2.08
city-32;-93.64;99.4;-17.68
city-33;-96.23;82.78;0.09
city-34;-91.45;87.54;18.46
city-35;-95.78;83.97;-11.68
city-36;-86.81;81.74;6.82
city-37;-48.83;58.99;25.59
city-38;-95.4;88.34;3.64
city-39;-99.78;74.1;-43.46
city-40;-84.78;93.97;20.69
city-41;-76.35;73.99;-27.91
city-42;-68.55;51.46;18.55
city-43;-88.17;96.41;3.72
city-44;-90.72;59.68;-1.47
city-45;-96.38;80.66;-16.02
city-46;-95.65;75.53;-7.88
city-47;-71.53;100;8.96
city-48;-86.3;98.75;-8.97
city-49;-91.11;94.12;-11.99
city-50;-62.66;99.71;34.18
city-51;-65.51;51.82;3.65
city-52;-99.64;71.63;-29.83
city-53;-70.18;94.8;-1.46
city-54;-51.16;97.63;33.81
city-55;-69.91;77.41;-29.08
city-56;-90.39;39.55;-23.26
city-57;-97.49;77.33;-10.31
city-58;-97.18;96.89;5.04
city-59;-17.43;72.51;25.33
city-60;-97.58;79.28;-21.88
city-61;-89.26;99.16;2.98
city-62;-91.07;56.75;-7.07
city-63;-98.72;95.66;-8.63
city-64;-70.93;96.37;-27.88
city-65;-80.97;58.02;-17.71
city-66;-92.55;72.23;-16.72
city-67;-42.81;42.67;0.86
city-68;-72.11;78.3;17.93
city-69;-73.55;98.95;44.73
city-70;-68.33;76.98;-6.74
city-71;-90.98;81.07;-25.84
city-72;-59.2;41.79;-5.82
city-73;-97.78;40.24;-33.14
city-74;-76.42;67.87;-7.43
city-75;-98.31;17.85;-49.77
city-76;-65.74;96.71;13.07
city-77;-72.89;95.49;20.75
city-78;-89.59;59.65;-26.62
city-79;-74.12;79.74;0.12
city-80;-81.43;94.66;7.42
city-81;-87.29;91.13;-6.53
city-82;-86.46;93.75;33.79
city-83;-91.17;90.19;1.56
city-84;-99.77;81.23;-0.65
city-85;-76.92;98.56;-12.80
city-86;-87.79;83.44;7.84
city-87;-51.58;96.91;14.11
city-88;-76.11;11.32;-28.60
city-89;-96.1;92.78;7.49
city-90;-99.67;89.82;-0.38
city-91;-89.02;96.08;-8.20
city-92;-77.16;70.66;-6.17
city-93;-99.36;68.73;-21.89
city-94;-36.49;69;25.24
city-95;-82.23;90.21;19.50
city-96;-97.94;84.56;-15.49
city-97;-96.35;87.88;-9.97
city-98;-92.37;88.71;8.69
city-99;-99.74;97.37;-7.60
