city-00;-99.81;99.63;-1.93
city-01;-99.74;99.71;-2.77
city-02;-99.92;99.95;-0.33
city-03;-99.80;99.64;0.65
city-04;-99.99;99.96;0.33
city-05;-99.81;99.97;-1.37
city-06;-99.51;99.97;0.94
city-07;-99.74;99.84;2.89
city-08;-99.66;99.84;0.33
city-09;-99.87;99.99;-1.56
city-10;-99.75;99.37;-2.16
city-100;-99.62;99.82;0.98
city-101;-99.72;99.88;0.21
city-102;-99.77;99.56;0.40
city-103;-100.00;99.98;2.45
city-104;-99.34;99.98;5.66
city-105;-99.72;99.55;-0.77
city-106;-99.76;99.88;-0.38
city-107;-99.69;99.95;-0.03
city-108;-99.77;99.74;-2.00
city-109;-99.95;99.60;3.59
city-11;-99.91;99.96;1.44
city-110;-99.98;99.66;0.57
city-111;-99.36;99.40;2.77
city-112;-99.90;99.78;2.03
city-113;-99.97;99.97;-3.48
city-114;-99.99;99.95;1.57
city-115;-99.91;99.91;1.10
city-116;-99.95;99.85;2.93
city-117;-99.70;99.87;-0.52
city-118;-99.72;99.90;-0.85
city-119;-99.87;99.89;-0.74
city-12;-99.99;99.96;-2.18
city-120;-99.19;99.98;4.30
city-121;-99.99;99.86;-1.68
city-122;-99.68;99.87;-3.22
city-123;-99.98;99.96;-1.95
city-124;-99.95;99.73;1.96
city-125;-99.85;99.94;1.49
city-126;-98.89;99.93;0.27
city-127;-99.89;99.85;0.67
city-128;-99.95;99.53;-1.60
city-129;-99.62;99.45;-1.86
city-13;-99.67;99.79;-2.71
city-130;-99.81;99.52;-2.16
city-131;-99.96;99.83;0.35
city-132;-99.68;99.92;1.21
city-133;-99.22;99.58;0.17
city-134;-99.06;99.77;3.03
city-135;-99.51;99.81;-2.69
city-136;-99.97;99.99;1.20
city-137;-99.76;99.99;-1.31
city-138;-99.83;99.89;2.45
city-139;-99.39;99.90;0.08
city-14;-99.84;99.60;0.44
city-140;-99.62;99.95;-0.44
city-141;-99.74;99.95;0.23
city-142;-99.93;99.53;1.64
city-143;-99.89;99.95;0.19
city-144;-99.49;99.96;2.09
city-145;-99.83;99.82;1.02
city-146;-99.94;99.51;-1.24
city-147;-99.94;99.57;0.49
city-148;-99.94;99.95;-0.49
city-149;-99.44;99.82;0.00
city-15;-99.99;99.81;0.92
city-150;-99.98;99.90;-0.38
city-151;-99.78;99.83;1.11
city-152;-99.92;99.84;-1.29
city-153;-99.91;99.97;0.29
city-154;-99.95;99.90;-2.34
city-155;-99.86;99.78;1.02
city-156;-99.72;99.99;2.84
city-157;-99.93;99.91;2.56
city-158;-99.88;99.39;0.01
city-159;-99.84;99.99;-3.06
city-16;-99.79;99.99;-0.10
city-160;-99.83;99.80;0.07
city-161;-99.63;99.53;-0.43
city-162;-99.91;99.73;0.30
city-163;-99.94;99.66;1.04
city-164;-99.85;99.96;-1.71
city-165;-99.53;100.00;-2.32
city-166;-99.75;99.98;0.92
city-167;-99.90;99.92;-2.82
city-168;-99.78;100.00;-3.42
city-169;-99.88;99.94;2.49
city-17;-99.95;99.97;-0.10
city-170;-99.63;99.53;2.94
city-171;-99.70;99.98;-1.73
city-172;-99.99;99.90;0.08
city-173;-99.95;99.90;-0.61
city-174;-99.87;99.37;-1.24
city-175;-99.65;99.92;0.49
city-176;-99.65;99.99;1.53
city-177;-99.83;99.85;-0.56
city-178;-99.92;99.80;-1.81
city-179;-99.93;99.03;-1.77
city-18;-99.96;99.97;-1.25
city-180;-99.86;99.98;-0.40
city-181;-99.71;99.89;0.89
city-182;-99.71;99.90;-4.14
city-183;-99.98;99.73;-1.94
city-184;-99.65;99.93;1.08
city-185;-99.84;99.43;1.04
city-186;-99.93;99.93;-0.76
city-187;-99.85;99.55;2.68
city-188;-99.99;99.99;0.65
city-189;-99.79;99.12;0.16
city-19;-99.81;99.88;-0.43
city-190;-99.57;99.96;-0.59
city-191;-100.00;99.92;2.01
city-192;-99.90;99.99;1.41
city-193;-99.59;99.97;-2.91
city-194;-99.16;99.94;0.07
city-195;-99.93;99.90;1.36
city-196;-99.86;99.98;-2.06
city-197;-99.89;99.95;1.77
city-198;-99.81;99.48;-0.48
city-199;-99.98;99.42;-0.71
city-20;-99.98;99.99;-1.15
city-200;-99.97;99.83;-1.95
city-201;-99.68;99.90;0.35
city-202;-99.82;99.92;-0.25
city-203;-99.50;99.98;-0.62
city-204;-99.91;99.99;1.02
city-205;-99.84;99.83;-1.33
city-206;-99.88;99.75;-0.08
city-207;-99.77;99.58;-0.89
city-208;-99.66;99.95;2.96
